"","WageGroup","EduGroup","IndustryGroup","JobGroup","RiskGroup","AgeGroup","Sex","sum_Employment"
"21224",NA,5,"9","5","3","4",1,8220.28
"21225",NA,5,"9","5","3","4",2,3345.685
"21226",NA,5,"9","5","3","5",1,4788.711
"21227",NA,5,"9","5","3","5",2,3586.583
"21228",NA,5,"9","5","3","6",1,2731.22
"21229",NA,5,"9","5","3","6",2,151.682
"21230",NA,5,"9","5","3","7",1,110.571
"21231",NA,5,"9","7","2","2",1,241.341
"21232",NA,5,"9","7","2","3",1,544.518
"21233",NA,5,"9","7","2","3",2,1012.351
"21234",NA,5,"9","7","2","4",1,215.132
"21235",NA,5,"9","7","2","4",2,171.091
"21236",NA,5,"9","7","2","5",1,257.664
"21237",NA,5,"9","9","2","2",1,111.921
"21238",NA,5,"9","9","2","3",1,24.699
"21239",NA,5,"9","9","2","3",2,166.192
"21240",NA,5,"9","9","2","4",1,65.56
"21241",NA,5,"9","9","2","4",2,83.121
"21242",NA,5,"9","9","2","5",2,48.352
"21243",NA,5,"9","9","2","6",1,80.645
"21244",NA,5,"9","9","2","6",2,151.428
"21245",NA,5,"9","9","2","7",2,50.76
"21246",NA,5,"9","9","3","2",1,697.457
"21247",NA,5,"9","9","3","2",2,199.642
"21248",NA,5,"9","9","3","3",1,1597.704
"21249",NA,5,"9","9","3","3",2,838.12
"21250",NA,5,"9","9","3","4",1,1250.573
"21251",NA,5,"9","9","3","4",2,618.998
"21252",NA,5,"9","9","3","5",1,1370.624
"21253",NA,5,"9","9","3","5",2,273.827
"21254",NA,5,"9","9","3","6",1,182.558
"21255",NA,5,"10","1","1","7",1,303.001
"21256",NA,5,"10","1","2","5",1,295.607
"21257",NA,5,"10","2","1","1",2,191.197
"21258",NA,5,"10","2","1","2",1,673.941
"21259",NA,5,"10","2","1","2",2,1920.384
"21260",NA,5,"10","2","1","3",1,11867.157
"21261",NA,5,"10","2","1","3",2,1045.11
"21262",NA,5,"10","2","1","4",1,11911.201
"21263",NA,5,"10","2","1","4",2,2359.076
"21264",NA,5,"10","2","1","5",1,2650.912
"21265",NA,5,"10","2","1","5",2,339.989
"21266",NA,5,"10","2","1","6",1,460.223
"21267",NA,5,"10","2","2","2",1,931.77
"21268",NA,5,"10","2","2","2",2,659.022
"21269",NA,5,"10","2","2","3",1,2089.35
"21270",NA,5,"10","2","2","3",2,368.398
"21271",NA,5,"10","2","2","4",1,2938.633
"21272",NA,5,"10","2","2","4",2,33.61
"21273",NA,5,"10","2","2","5",1,798.215
"21274",NA,5,"10","3","2","6",1,175.769
"21275",NA,5,"10","3","3","3",1,236.298
"21276",NA,5,"10","3","3","3",2,110.959
"21277",NA,5,"10","3","3","4",1,407.914
"21278",NA,5,"10","3","3","4",2,498.399
"21279",NA,5,"10","3","3","5",1,811.687
"21280",NA,5,"10","3","3","5",2,188.623
"21281",NA,5,"10","3","3","6",1,211.14
"21282",NA,5,"10","3","3","7",1,263.132
"21283",NA,5,"10","5","2","4",1,519.052
"21284",NA,5,"10","7","2","4",1,588.993
"21285",NA,5,"10","8","3","4",1,576.892
"21286",NA,5,"11","1","1","5",2,131.735
"21287",NA,5,"11","2","2","3",1,806.355
"21288",NA,5,"11","2","2","4",1,1045.924
"21289",NA,5,"11","2","2","4",2,244.627
"21290",NA,5,"11","2","2","5",1,533.046
"21291",NA,5,"11","3","2","3",1,207.979
"21292",NA,5,"11","3","2","3",2,22.874
"21293",NA,5,"11","3","2","4",1,605.049
"21294",NA,5,"11","3","2","4",2,135.81
"21295",NA,5,"11","3","2","5",1,589.104
"21296",NA,5,"11","3","2","5",2,276.348
"21297",NA,5,"11","3","3","3",1,199.022
"21298",NA,5,"11","3","3","4",2,43.807
"21299",NA,5,"11","3","3","5",1,522.718
"21300",NA,5,"11","3","3","5",2,54.366
"21301",NA,5,"11","3","3","6",1,161.035
"21302",NA,5,"11","5","2","3",1,816.396
