"","V20","EduGroup","RiskGroup","sum_Employment"
"922",264,7,"1",565.42
"923",264,7,"3",466.188
"924",265,1,"2",587.15
"925",265,2,"2",861.565
"926",265,2,"3",1251.611
"927",265,3,"1",508.313
"928",265,3,"2",1897.09
"929",265,3,"3",9908.292
"930",265,4,"1",1302.566
"931",265,4,"2",1869.028
"932",265,4,"3",3703.238
"933",265,5,"1",5933.228
"934",265,5,"2",2010.767
"935",265,5,"3",7408.004
"936",265,6,"1",2492.132
"937",265,6,"3",450.258
"938",265,7,"1",634.408
"939",266,3,"2",139.377
"940",266,3,"3",325.639
"941",266,4,"2",237.725
"942",266,4,"3",656.369
"943",271,1,"2",692.365
"944",271,1,"3",287.419
"945",271,2,"2",851.331
"946",271,2,"3",2653.494
"947",271,3,"1",213.74
"948",271,3,"2",7497.553
"949",271,3,"3",8121.714
"950",271,4,"1",386.471
"951",271,4,"2",11986.124
"952",271,4,"3",4798.577
"953",271,5,"1",1916.561
"954",271,5,"2",8270.497
"955",271,5,"3",6438.106
"956",271,6,"1",1949.09
"957",271,6,"2",792.907
"958",271,6,"3",446.776
"959",271,7,"1",152.06
